Variable,Description
accidents,"Number of recorded accidents, as a positive integer."
traffic_fine_amount,"Traffic fine amount, expressed in thousands of USD."
traffic_density,"Traffic density index, scale from 0 (low) to 10 (high)."
traffic_lights,Proportion of traffic lights in the area (0 to 1).
pavement_quality,"Pavement quality, scale from 0 (very poor) to 5 (excellent)."
urban_area,"Urban area (1) or rural area (0), as an integer."
average_speed,Average speed of vehicles in km/h.
rain_intensity,"Rain intensity, scale from 0 (no rain) to 3 (heavy rain)."
vehicle_count,"Estimated number of vehicles, in thousands, as an integer."
time_of_day,Time of day in 24-hour format (0 to 24).
